role,function,fetch path,method,headers,body,backend app.js,routes,controller,middleware,services,db query,example response
HR,getCandidateProfile,${API_BASE}/hr-recruiter/candidates/:id/profile,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/hr-recruiter"", hrRecruiterRoutes);","routes/hrRecruiter.routes.js -> router.get(""/candidates/:id/profile"", ...)",controllers/hrRecruiter.controller.js -> getCandidateProfile(),"verifyToken, checkRole(""HR"")",services/hrRecruiter.service.js -> getCandidateProfile(),"SELECT cp.user_id, u.first_name, u.last_name, u.email, cp.phone, cp.address, cp.resume_url, cp.profile_data, cp.is_verified, cp.updated_at FROM candidate_profiles cp JOIN users u ON cp.user_id = u.id WHERE cp.user_id = ? LIMIT 1","{""user_id"":13,""first_name"":""Rahul"",""last_name"":""Sharma"",""email"":""rahul.sharma@example.com"",""resume_url"":""https://...""}"
HR,updateCandidateProfile,${API_BASE}/hr-recruiter/candidates/:id/profile,PUT,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }",{},"app.use(""/hr-recruiter"", hrRecruiterRoutes);","routes/hrRecruiter.routes.js -> router.put(""/candidates/:id/profile"", ...)",controllers/hrRecruiter.controller.js -> updateCandidateProfile(),"verifyToken, checkRole(""HR"")",services/hrRecruiter.service.js -> updateCandidateProfile(),"UPDATE candidate_profiles SET phone = ?, address = ?, profile_data = ?, updated_at = NOW() WHERE user_id = ?","{""message"":""Success""}"
HR,uploadResume,${API_BASE}/hr-recruiter/candidates/:id/resume,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }",{},"app.use(""/hr-recruiter"", hrRecruiterRoutes);","routes/hrRecruiter.routes.js -> router.post(""/candidates/:id/resume"", ...)",controllers/hrRecruiter.controller.js -> uploadResume(),"verifyToken, checkRole(""HR"")",services/hrRecruiter.service.js -> uploadResume(),"UPDATE candidate_profiles SET resume_url = ?, updated_at = NOW() WHERE user_id = ?","{""id"":123}"
HR,getInterviews,${API_BASE}/hr-recruiter/interviews,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/hr-recruiter"", hrRecruiterRoutes);","routes/hrRecruiter.routes.js -> router.get(""/interviews"", ...)",controllers/hrRecruiter.controller.js -> getInterviews(),"verifyToken, checkRole(""HR"")",services/hrRecruiter.service.js -> getInterviews(),"SELECT i.*, u.first_name AS interviewer_first, u.last_name AS interviewer_last FROM interviews i JOIN users u ON i.interviewer_id = u.id WHERE i.application_id = ? ORDER BY i.scheduled_at","[{""id"":1,""application_id"":4,""status"":""scheduled"",""scheduled_at"":""2026-03-01T10:00:00Z""}]"
HR,scheduleInterview,${API_BASE}/hr-recruiter/interviews,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""application_id"":5,""interviewer_id"":8,""scheduled_at"":""2026-03-01 10:00:00"",""duration_minutes"":60,""meeting_link"":""https://meet.google.com/test"",""notes"":""Round 1""}","app.use(""/hr-recruiter"", hrRecruiterRoutes);","routes/hrRecruiter.routes.js -> router.post(""/interviews"", ...)",controllers/hrRecruiter.controller.js -> scheduleInterview(),"verifyToken, checkRole(""HR"")",services/hrRecruiter.service.js -> scheduleInterview(),"INSERT INTO interviews (application_id, interviewer_id, scheduled_at, duration_minutes, meeting_link, status, notes, created_at, updated_at) VALUES (?, ?, ?, ?, ?, 'scheduled', ?, NOW(), NOW())","{""id"":123}"
HR,updateInterview,${API_BASE}/hr-recruiter/interviews/:id,PUT,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""status"":""completed"",""notes"":""Strong performance""}","app.use(""/hr-recruiter"", hrRecruiterRoutes);","routes/hrRecruiter.routes.js -> router.put(""/interviews/:id"", ...)",controllers/hrRecruiter.controller.js -> updateInterview(),"verifyToken, checkRole(""HR"")",services/hrRecruiter.service.js -> updateInterview(),"UPDATE interviews SET status = ?, notes = ?, updated_at = NOW() WHERE id = ?","{""message"":""Success""}"
HR,listJobs,${API_BASE}/hr-recruiter/jobs,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/hr-recruiter"", hrRecruiterRoutes);","routes/hrRecruiter.routes.js -> router.get(""/jobs"", ...)",controllers/hrRecruiter.controller.js -> listJobs(),"verifyToken, checkRole(""HR"")",services/hrRecruiter.service.js -> listJobs(),"SELECT j.id, j.title, j.description, j.location, j.employment_type, j.status, j.positions_count, j.created_at, c.name AS company_name FROM job_requisitions j JOIN companies c ON j.company_id = c.id ${whereSql} ORDER BY j.created_at DESC","[{""id"":1,""title"":""Senior Java Developer"",""status"":""published"",""company_name"":""TCS Limited""}]"
HR,createJobDraft,${API_BASE}/hr-recruiter/jobs,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""company_id"":1,""created_by"":2,""title"":""Backend Developer"",""description"":""Node.js"",""requirements"":""3+ years"",""location"":""Hyderabad"",""employment_type"":""Full-time"",""positions_count"":2}","app.use(""/hr-recruiter"", hrRecruiterRoutes);","routes/hrRecruiter.routes.js -> router.post(""/jobs"", ...)",controllers/hrRecruiter.controller.js -> createJobDraft(),"verifyToken, checkRole(""HR"")",services/hrRecruiter.service.js -> createJobDraft(),"INSERT INTO job_requisitions (company_id, created_by, title, description, requirements, location, employment_type, status, positions_count, created_at, updated_at) VALUES (?, ?, ?, ?, ?, ?, ?, 'draft', ?, NOW(), NOW())","{""id"":123}"
HR,getJobById,${API_BASE}/hr-recruiter/jobs/:id,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/hr-recruiter"", hrRecruiterRoutes);","routes/hrRecruiter.routes.js -> router.get(""/jobs/:id"", ...)",controllers/hrRecruiter.controller.js -> getJobById(),"verifyToken, checkRole(""HR"")",services/hrRecruiter.service.js -> getJobById(),"SELECT j.*, c.name AS company_name, u.first_name AS creator_first, u.last_name AS creator_last FROM job_requisitions j JOIN companies c ON j.company_id = c.id JOIN users u ON j.created_by = u.id WHERE j.id = ? LIMIT 1","{""id"":1,""title"":""Senior Java Developer"",""status"":""published"",""company_name"":""TCS Limited""}"
HR,updateJob,${API_BASE}/hr-recruiter/jobs/:id,PUT,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""title"":""Senior Backend Developer"",""description"":""Node.js + SQL"",""requirements"":""5+ years"",""location"":""Hyderabad"",""employment_type"":""Full-time"",""positions_count"":2}","app.use(""/hr-recruiter"", hrRecruiterRoutes);","routes/hrRecruiter.routes.js -> router.put(""/jobs/:id"", ...)",controllers/hrRecruiter.controller.js -> updateJob(),"verifyToken, checkRole(""HR"")",services/hrRecruiter.service.js -> updateJob(),"UPDATE job_requisitions SET title = ?, description = ?, requirements = ?, location = ?, employment_type = ?, positions_count = ?, updated_at = NOW() WHERE id = ? AND status IN ('draft', 'pending')","{""message"":""Success""}"
HR,submitJob,${API_BASE}/hr-recruiter/jobs/:id/submit,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""approver_id"":3}","app.use(""/hr-recruiter"", hrRecruiterRoutes);","routes/hrRecruiter.routes.js -> router.post(""/jobs/:id/submit"", ...)",controllers/hrRecruiter.controller.js -> submitJob(),"verifyToken, checkRole(""HR"")",services/hrRecruiter.service.js -> submitJob(),"UPDATE job_requisitions SET status = 'pending', updated_at = NOW() WHERE id = ?","{""id"":123}"
HR,createOfferDraft,${API_BASE}/hr-recruiter/offers,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""application_id"":7,""created_by"":2,""offer_details"":{""ctc"":""20LPA""}}","app.use(""/hr-recruiter"", hrRecruiterRoutes);","routes/hrRecruiter.routes.js -> router.post(""/offers"", ...)",controllers/hrRecruiter.controller.js -> createOfferDraft(),"verifyToken, checkRole(""HR"")",services/hrRecruiter.service.js -> createOfferDraft(),"INSERT INTO offers (application_id, created_by, status, offer_details, created_at, updated_at) VALUES (?, ?, 'draft', ?, NOW(), NOW())","{""id"":123}"
HR,sendOffer,${API_BASE}/hr-recruiter/offers/:id/send,PUT,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""document_url"":""https://files.example.com/offer.pdf"",""esign_link"":""https://esign.example.com/abc""}","app.use(""/hr-recruiter"", hrRecruiterRoutes);","routes/hrRecruiter.routes.js -> router.put(""/offers/:id/send"", ...)",controllers/hrRecruiter.controller.js -> sendOffer(),"verifyToken, checkRole(""HR"")",services/hrRecruiter.service.js -> sendOffer(),"UPDATE offers SET status = 'sent', document_url = ?, esign_link = ?, sent_at = NOW(), updated_at = NOW() WHERE id = ?","{""message"":""Success""}"
HR,getMyProfile,${API_BASE}/hr-recruiter/profile,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/hr-recruiter"", hrRecruiterRoutes);","routes/hrRecruiter.routes.js -> router.get(""/profile"", ...)",controllers/hrRecruiter.controller.js -> getMyProfile(),"verifyToken, checkRole(""HR"")",services/hrRecruiter.service.js -> getMyProfile(),,"{""id"":2,""email"":""hr@tcs.com"",""first_name"":""Priya"",""last_name"":""Verma"",""role"":""HR""}"
HR,updateMyProfile,${API_BASE}/hr-recruiter/profile,PUT,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""first_name"":""John"",""last_name"":""Doe"",""email"":""john.doe@example.com""}","app.use(""/hr-recruiter"", hrRecruiterRoutes);","routes/hrRecruiter.routes.js -> router.put(""/profile"", ...)",controllers/hrRecruiter.controller.js -> updateMyProfile(),"verifyToken, checkRole(""HR"")",services/hrRecruiter.service.js -> updateMyProfile(),"UPDATE users SET first_name = ?, last_name = ?, email = ?, updated_at = NOW() WHERE id = ?","{""message"":""Success""}"
HiringManager,finalDecision,${API_BASE}/hiring-manager/applications/:id/final-decision,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""status"":""selected""}","app.use(""/hiring-manager"", hiringManagerRoutes);","routes/hiringManager.routes.js -> router.post(""/applications/:id/final-decision"", ...)",controllers/hiringManager.controller.js -> finalDecision(),"verifyToken, checkRole(""HiringManager"")",services/hiringManager.service.js -> finalDecision(),"UPDATE applications SET status = ?, final_decision_at = NOW(), updated_at = NOW() WHERE id = ?","{""id"":123}"
HiringManager,listPendingApprovals,${API_BASE}/hiring-manager/job-approvals,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/hiring-manager"", hiringManagerRoutes);","routes/hiringManager.routes.js -> router.get(""/job-approvals"", ...)",controllers/hiringManager.controller.js -> listPendingApprovals(),"verifyToken, checkRole(""HiringManager"")",services/hiringManager.service.js -> listPendingApprovals(),"SELECT ja.*, j.title, j.created_by, u.first_name AS requester FROM job_approvals ja JOIN job_requisitions j ON ja.job_id = j.id JOIN users u ON j.created_by = u.id WHERE ja.approver_id = ? AND ja.status = 'pending'","{""message"":""Success""}"
HiringManager,getJobById,${API_BASE}/hiring-manager/jobs/:id,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/hiring-manager"", hiringManagerRoutes);","routes/hiringManager.routes.js -> router.get(""/jobs/:id"", ...)",controllers/hiringManager.controller.js -> getJobById(),"verifyToken, checkRole(""HiringManager"")",services/hiringManager.service.js -> getJobById(),"SELECT j.*, c.name AS company_name, u.first_name AS creator_first, u.last_name AS creator_last FROM job_requisitions j JOIN companies c ON j.company_id = c.id JOIN users u ON j.created_by = u.id WHERE j.id = ? LIMIT 1","{""id"":1,""title"":""Senior Java Developer"",""status"":""published"",""company_name"":""TCS Limited""}"
HiringManager,approveJob,${API_BASE}/hiring-manager/jobs/:id/approve,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }",{},"app.use(""/hiring-manager"", hiringManagerRoutes);","routes/hiringManager.routes.js -> router.post(""/jobs/:id/approve"", ...)",controllers/hiringManager.controller.js -> approveJob(),"verifyToken, checkRole(""HiringManager"")",services/hiringManager.service.js -> approveJob(),"UPDATE job_approvals SET status = 'approved', comments = ?, approved_at = NOW(), updated_at = NOW() WHERE job_id = ? AND approver_id = ?","{""id"":123}"
HiringManager,closeJob,${API_BASE}/hiring-manager/jobs/:id/close,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }",{},"app.use(""/hiring-manager"", hiringManagerRoutes);","routes/hiringManager.routes.js -> router.post(""/jobs/:id/close"", ...)",controllers/hiringManager.controller.js -> closeJob(),"verifyToken, checkRole(""HiringManager"")",services/hiringManager.service.js -> closeJob(),"UPDATE job_requisitions SET status = 'closed', closed_at = NOW(), updated_at = NOW() WHERE id = ?","{""id"":123}"
HiringManager,publishJob,${API_BASE}/hiring-manager/jobs/:id/publish,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }",{},"app.use(""/hiring-manager"", hiringManagerRoutes);","routes/hiringManager.routes.js -> router.post(""/jobs/:id/publish"", ...)",controllers/hiringManager.controller.js -> publishJob(),"verifyToken, checkRole(""HiringManager"")",services/hiringManager.service.js -> publishJob(),"UPDATE job_requisitions SET status = 'published', published_at = NOW(), updated_at = NOW() WHERE id = ?","{""id"":123}"
HiringManager,rejectJob,${API_BASE}/hiring-manager/jobs/:id/reject,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }",{},"app.use(""/hiring-manager"", hiringManagerRoutes);","routes/hiringManager.routes.js -> router.post(""/jobs/:id/reject"", ...)",controllers/hiringManager.controller.js -> rejectJob(),"verifyToken, checkRole(""HiringManager"")",services/hiringManager.service.js -> rejectJob(),"UPDATE job_approvals SET status = 'rejected', comments = ?, updated_at = NOW() WHERE job_id = ? AND approver_id = ?","{""id"":123}"
HiringManager,getMyProfile,${API_BASE}/hiring-manager/profile,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/hiring-manager"", hiringManagerRoutes);","routes/hiringManager.routes.js -> router.get(""/profile"", ...)",controllers/hiringManager.controller.js -> getMyProfile(),"verifyToken, checkRole(""HiringManager"")",services/hiringManager.service.js -> getMyProfile(),,"{""id"":2,""email"":""hr@tcs.com"",""first_name"":""Priya"",""last_name"":""Verma"",""role"":""HR""}"
HiringManager,updateMyProfile,${API_BASE}/hiring-manager/profile,PUT,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""first_name"":""John"",""last_name"":""Doe"",""email"":""john.doe@example.com""}","app.use(""/hiring-manager"", hiringManagerRoutes);","routes/hiringManager.routes.js -> router.put(""/profile"", ...)",controllers/hiringManager.controller.js -> updateMyProfile(),"verifyToken, checkRole(""HiringManager"")",services/hiringManager.service.js -> updateMyProfile(),"UPDATE users SET first_name = ?, last_name = ?, email = ?, updated_at = NOW() WHERE id = ?","{""message"":""Success""}"
Interviewer,getInterviews,${API_BASE}/interviewer/interviews,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/interviewer"", interviewerRoutes);","routes/interviewer.routes.js -> router.get(""/interviews"", ...)",controllers/interviewer.controller.js -> getInterviews(),"verifyToken, checkRole(""Interviewer"")",services/interviewer.service.js -> getInterviews(),"SELECT i.*, u.first_name AS interviewer_first, u.last_name AS interviewer_last FROM interviews i JOIN users u ON i.interviewer_id = u.id WHERE i.application_id = ? ORDER BY i.scheduled_at","[{""id"":1,""application_id"":4,""status"":""scheduled"",""scheduled_at"":""2026-03-01T10:00:00Z""}]"
Interviewer,updateInterview,${API_BASE}/interviewer/interviews/:id,PUT,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""status"":""completed"",""notes"":""Strong performance""}","app.use(""/interviewer"", interviewerRoutes);","routes/interviewer.routes.js -> router.put(""/interviews/:id"", ...)",controllers/interviewer.controller.js -> updateInterview(),"verifyToken, checkRole(""Interviewer"")",services/interviewer.service.js -> updateInterview(),"UPDATE interviews SET status = ?, notes = ?, updated_at = NOW() WHERE id = ?","{""message"":""Success""}"
Interviewer,getMyProfile,${API_BASE}/interviewer/profile,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/interviewer"", interviewerRoutes);","routes/interviewer.routes.js -> router.get(""/profile"", ...)",controllers/interviewer.controller.js -> getMyProfile(),"verifyToken, checkRole(""Interviewer"")",services/interviewer.service.js -> getMyProfile(),,"{""id"":2,""email"":""hr@tcs.com"",""first_name"":""Priya"",""last_name"":""Verma"",""role"":""HR""}"
Interviewer,updateMyProfile,${API_BASE}/interviewer/profile,PUT,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""first_name"":""John"",""last_name"":""Doe"",""email"":""john.doe@example.com""}","app.use(""/interviewer"", interviewerRoutes);","routes/interviewer.routes.js -> router.put(""/profile"", ...)",controllers/interviewer.controller.js -> updateMyProfile(),"verifyToken, checkRole(""Interviewer"")",services/interviewer.service.js -> updateMyProfile(),"UPDATE users SET first_name = ?, last_name = ?, email = ?, updated_at = NOW() WHERE id = ?","{""message"":""Success""}"
Interviewer,getScorecards,${API_BASE}/interviewer/scorecards,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/interviewer"", interviewerRoutes);","routes/interviewer.routes.js -> router.get(""/scorecards"", ...)",controllers/interviewer.controller.js -> getScorecards(),"verifyToken, checkRole(""Interviewer"")",services/interviewer.service.js -> getScorecardsByInterview(),SELECT * FROM scorecards WHERE interview_id = ? ORDER BY created_at,"[{""id"":1,""interview_id"":1,""recommendation"":""Yes"",""is_final"":1}]"
Interviewer,submitScorecard,${API_BASE}/interviewer/scorecards,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""interview_id"":10,""interviewer_id"":8,""ratings"":{""technical"":5,""communication"":4},""comments"":""Good"",""recommendation"":""Yes""}","app.use(""/interviewer"", interviewerRoutes);","routes/interviewer.routes.js -> router.post(""/scorecards"", ...)",controllers/interviewer.controller.js -> submitScorecard(),"verifyToken, checkRole(""Interviewer"")",services/interviewer.service.js -> submitScorecard(),"INSERT INTO scorecards (interview_id, interviewer_id, ratings, comments, recommendation, is_final, submitted_at, created_at, updated_at) VALUES (?, ?, ?, ?, ?, 0, NOW(), NOW(), NOW())","{""id"":123}"
Interviewer,finalizeScorecard,${API_BASE}/interviewer/scorecards/:id/finalize,PUT,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }",{},"app.use(""/interviewer"", interviewerRoutes);","routes/interviewer.routes.js -> router.put(""/scorecards/:id/finalize"", ...)",controllers/interviewer.controller.js -> finalizeScorecard(),"verifyToken, checkRole(""Interviewer"")",services/interviewer.service.js -> finalizeScorecard(),"UPDATE scorecards SET is_final = 1, updated_at = NOW() WHERE id = ?","{""message"":""Success""}"
PlatformAdmin,getAuditTrail,${API_BASE}/platform-admin/audit,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/platform-admin"", platformAdminRoutes);","routes/platformAdmin.routes.js -> router.get(""/audit"", ...)",controllers/platformAdmin.controller.js -> getAuditTrail(),"verifyToken, checkRole(""PlatformAdmin"")",services/platformAdmin.service.js -> getAuditTrail(),SELECT * FROM audit_logs WHERE entity_type = ? AND entity_id = ? ORDER BY created_at DESC,"[{""id"":1001,""action"":""UPDATED"",""entity_type"":""users"",""entity_id"":10}]"
PlatformAdmin,insertAuditLog,${API_BASE}/platform-admin/audit-logs,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""user_id"":1,""action"":""UPDATED"",""entity_type"":""users"",""entity_id"":10,""old_data"":{},""new_data"":{},""ip_address"":""127.0.0.1""}","app.use(""/platform-admin"", platformAdminRoutes);","routes/platformAdmin.routes.js -> router.post(""/audit-logs"", ...)",controllers/platformAdmin.controller.js -> insertAuditLog(),"verifyToken, checkRole(""PlatformAdmin"")",services/platformAdmin.service.js -> insertAuditLog(),"INSERT INTO audit_logs (user_id, action, entity_type, entity_id, old_data, new_data, ip_address, created_at) VALUES (?, ?, ?, ?, ?, ?, ?, NOW())","{""id"":123}"
PlatformAdmin,insertBackgroundJob,${API_BASE}/platform-admin/background-jobs,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""job_type"":""email_notification"",""payload"":{""to"":""test@example.com""}}","app.use(""/platform-admin"", platformAdminRoutes);","routes/platformAdmin.routes.js -> router.post(""/background-jobs"", ...)",controllers/platformAdmin.controller.js -> insertBackgroundJob(),"verifyToken, checkRole(""PlatformAdmin"")",services/platformAdmin.service.js -> insertBackgroundJob(),"INSERT INTO background_jobs (job_type, payload, status, scheduled_at, created_at) VALUES (?, ?, 'pending', COALESCE(?, NOW()), NOW())","{""id"":123}"
PlatformAdmin,completeBackgroundJob,${API_BASE}/platform-admin/background-jobs/:id/complete,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }",{},"app.use(""/platform-admin"", platformAdminRoutes);","routes/platformAdmin.routes.js -> router.post(""/background-jobs/:id/complete"", ...)",controllers/platformAdmin.controller.js -> completeBackgroundJob(),"verifyToken, checkRole(""PlatformAdmin"")",services/platformAdmin.service.js -> completeBackgroundJob(),"UPDATE background_jobs SET status = 'completed', completed_at = NOW() WHERE id = ?","{""id"":123}"
PlatformAdmin,failBackgroundJob,${API_BASE}/platform-admin/background-jobs/:id/fail,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }",{},"app.use(""/platform-admin"", platformAdminRoutes);","routes/platformAdmin.routes.js -> router.post(""/background-jobs/:id/fail"", ...)",controllers/platformAdmin.controller.js -> failBackgroundJob(),"verifyToken, checkRole(""PlatformAdmin"")",services/platformAdmin.service.js -> failBackgroundJob(),"UPDATE background_jobs SET status = 'failed', error_message = ?, retries = retries + 1 WHERE id = ?","{""id"":123}"
PlatformAdmin,getPendingJobs,${API_BASE}/platform-admin/background-jobs/pending,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/platform-admin"", platformAdminRoutes);","routes/platformAdmin.routes.js -> router.get(""/background-jobs/pending"", ...)",controllers/platformAdmin.controller.js -> getPendingJobs(),"verifyToken, checkRole(""PlatformAdmin"")",services/platformAdmin.service.js -> getPendingJobs(),SELECT * FROM background_jobs WHERE status = 'pending' AND scheduled_at <= NOW() ORDER BY scheduled_at LIMIT 10,"[{""id"":1,""job_type"":""email_notification"",""status"":""pending""}]"
PlatformAdmin,listActiveCompanies,${API_BASE}/platform-admin/companies,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/platform-admin"", platformAdminRoutes);","routes/platformAdmin.routes.js -> router.get(""/companies"", ...)",controllers/platformAdmin.controller.js -> listActiveCompanies(),"verifyToken, checkRole(""PlatformAdmin"")",services/platformAdmin.service.js -> listActiveCompanies(),"SELECT id, name, domain, is_active, created_at FROM companies WHERE is_active = 1 ORDER BY name","[{""id"":1,""name"":""TCS Limited"",""domain"":""tcs.com"",""is_active"":1}]"
PlatformAdmin,createCompany,${API_BASE}/platform-admin/companies,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""name"":""Acme Corp"",""domain"":""acme.com""}","app.use(""/platform-admin"", platformAdminRoutes);","routes/platformAdmin.routes.js -> router.post(""/companies"", ...)",controllers/platformAdmin.controller.js -> createCompany(),"verifyToken, checkRole(""PlatformAdmin"")",services/platformAdmin.service.js -> createCompany(),"INSERT INTO companies (name, domain, is_active, created_at, updated_at) VALUES (?, ?, 1, NOW(), NOW())","{""id"":123}"
PlatformAdmin,deactivateCompany,${API_BASE}/platform-admin/companies/:id,DELETE,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }",{},"app.use(""/platform-admin"", platformAdminRoutes);","routes/platformAdmin.routes.js -> router.delete(""/companies/:id"", ...)",controllers/platformAdmin.controller.js -> deactivateCompany(),"verifyToken, checkRole(""PlatformAdmin"")",services/platformAdmin.service.js -> deactivateCompany(),"UPDATE companies SET is_active = 0, updated_at = NOW() WHERE id = ?","{""message"":""Success""}"
PlatformAdmin,getCompanyById,${API_BASE}/platform-admin/companies/:id,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/platform-admin"", platformAdminRoutes);","routes/platformAdmin.routes.js -> router.get(""/companies/:id"", ...)",controllers/platformAdmin.controller.js -> getCompanyById(),"verifyToken, checkRole(""PlatformAdmin"")",services/platformAdmin.service.js -> getCompanyById(),"SELECT id, name, domain, is_active, created_at, updated_at FROM companies WHERE id = ? LIMIT 1","{""id"":1,""name"":""TCS Limited"",""domain"":""tcs.com"",""is_active"":1}"
PlatformAdmin,updateCompany,${API_BASE}/platform-admin/companies/:id,PUT,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""name"":""Acme Corp Updated"",""domain"":""acme.com""}","app.use(""/platform-admin"", platformAdminRoutes);","routes/platformAdmin.routes.js -> router.put(""/companies/:id"", ...)",controllers/platformAdmin.controller.js -> updateCompany(),"verifyToken, checkRole(""PlatformAdmin"")",services/platformAdmin.service.js -> updateCompany(),"UPDATE companies SET name = ?, domain = ?, updated_at = NOW() WHERE id = ?","{""message"":""Success""}"
PlatformAdmin,activateCompany,${API_BASE}/platform-admin/companies/:id/activate,POST,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }",{},"app.use(""/platform-admin"", platformAdminRoutes);","routes/platformAdmin.routes.js -> router.post(""/companies/:id/activate"", ...)",controllers/platformAdmin.controller.js -> activateCompany(),"verifyToken, checkRole(""PlatformAdmin"")",services/platformAdmin.service.js -> activateCompany(),"UPDATE companies SET is_active = 1, updated_at = NOW() WHERE id = ?","{""id"":123}"
PlatformAdmin,countActiveCompanies,${API_BASE}/platform-admin/companies/count,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/platform-admin"", platformAdminRoutes);","routes/platformAdmin.routes.js -> router.get(""/companies/count"", ...)",controllers/platformAdmin.controller.js -> countActiveCompanies(),"verifyToken, checkRole(""PlatformAdmin"")",services/platformAdmin.service.js -> countActiveCompanies(),SELECT COUNT(*) AS total FROM companies WHERE is_active = 1,"{""total"":8}"
PlatformAdmin,getMyProfile,${API_BASE}/platform-admin/profile,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/platform-admin"", platformAdminRoutes);","routes/platformAdmin.routes.js -> router.get(""/profile"", ...)",controllers/platformAdmin.controller.js -> getMyProfile(),"verifyToken, checkRole(""PlatformAdmin"")",services/platformAdmin.service.js -> getMyProfile(),,"{""id"":2,""email"":""hr@tcs.com"",""first_name"":""Priya"",""last_name"":""Verma"",""role"":""HR""}"
PlatformAdmin,updateMyProfile,${API_BASE}/platform-admin/profile,PUT,"{ ""Authorization"": ""Bearer <token>"", ""Content-Type"": ""application/json"" }","{""first_name"":""John"",""last_name"":""Doe"",""email"":""john.doe@example.com""}","app.use(""/platform-admin"", platformAdminRoutes);","routes/platformAdmin.routes.js -> router.put(""/profile"", ...)",controllers/platformAdmin.controller.js -> updateMyProfile(),"verifyToken, checkRole(""PlatformAdmin"")",services/platformAdmin.service.js -> updateMyProfile(),"UPDATE users SET first_name = ?, last_name = ?, email = ?, updated_at = NOW() WHERE id = ?","{""message"":""Success""}"
PlatformAdmin,listUsersByRole,${API_BASE}/platform-admin/users,GET,"{ ""Authorization"": ""Bearer <token>"" }",-,"app.use(""/platform-admin"", platformAdminRoutes);","routes/platformAdmin.routes.js -> router.get(""/users"", ...)",controllers/platformAdmin.controller.js -> listUsersByRole(),"verifyToken, checkRole(""PlatformAdmin"")",services/platformAdmin.service.js -> listUsersByRole(),"SELECT id, email, first_name, last_name, role, is_active, created_at FROM users WHERE role = ? AND is_active = 1 ORDER BY last_name, first_name","[{""id"":2,""email"":""hr@tcs.com"",""first_name"":""Priya"",""last_name"":""Verma"",""role"":""HR""}]"
